config,2020,2021,2022,2023,2024,2025,total,years_positive
v9a_v8a_replicate,32.1041,16.5313,1.9402,4.6337,28.6265,-5.1129,78.7229,5
v9b_ob_standalone,96.0074,124.2287,119.1863,113.8984,75.2858,80.0434,608.6500,6
v9c_v8a_plus_ob,47.2260,26.6435,26.1688,16.3183,27.9628,11.8014,156.1208,6
