slippage,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 06:30:00+00:00,2025-05-27 06:33:00+00:00,21237.0000,2025-05-27 07:47:00+00:00,21346.8214,target,21.9643,21193.0714,21346.8214,109.8214,2.5000,2025-05-27 06:33:01.216849291+00:00,21237.5000,2025-05-27 07:47:39.470545149+00:00,21346.8214,target,2.4606,2025-05-27 07:47:39.470545149+00:00,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 06:30:00+00:00,2025-05-27 06:33:00+00:00,5881.7500,2025-05-27 07:46:00+00:00,5904.4509,target,4.5402,5872.6696,5904.4509,22.7009,2.5000,2025-05-27 06:33:03.246310137+00:00,5881.7500,2025-05-27 07:46:56.114241539+00:00,5904.4509,target,2.5000,2025-05-27 07:46:56.114241539+00:00,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 06:00:00+00:00,2025-05-27 06:03:00+00:00,21209.2500,2025-05-27 07:34:00+00:00,21316.7946,target,21.5089,21166.2321,21316.7946,107.5446,2.5000,2025-05-27 06:03:01.586808197+00:00,21209.2500,2025-05-27 07:34:47.653139871+00:00,21316.7946,target,2.5000,2025-05-27 07:34:47.653139871+00:00,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 06:00:00+00:00,2025-05-27 06:03:00+00:00,5876.2500,2025-05-27 07:34:00+00:00,5898.1473,target,4.3795,5867.4911,5898.1473,21.8973,2.5000,2025-05-27 06:03:00.506647431+00:00,5876.2500,2025-05-27 07:34:07.232408553+00:00,5898.1473,target,2.5000,2025-05-27 07:34:07.232408553+00:00,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 06:45:00+00:00,2025-05-27 06:47:00+00:00,21252.5000,2025-05-27 10:47:00+00:00,21314.0000,time_exit,21.7098,21209.0804,21361.0491,61.5000,1.4164,2025-05-27 06:47:00.300455307+00:00,21252.5000,2025-05-27 11:44:58.635604959+00:00,21301.1250,time_exit,1.1199,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 07:15:00+00:00,2025-05-27 07:18:00+00:00,21271.2500,2025-05-27 11:18:00+00:00,21282.0000,time_exit,21.9375,21227.3750,21380.9375,10.7500,0.2450,2025-05-27 07:18:00.586717019+00:00,21272.2500,2025-05-27 12:14:59.184505205+00:00,21283.1250,time_exit,0.2423,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 07:30:00+00:00,2025-05-27 07:32:00+00:00,21311.2500,2025-05-27 11:32:00+00:00,21303.2500,time_exit,23.6250,21264.0000,21429.3750,-8.0000,-0.1693,2025-05-27 07:32:00.149816465+00:00,21311.2500,2025-05-27 12:29:59.641465729+00:00,21287.6250,time_exit,-0.5000,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 07:30:00+00:00,2025-05-27 07:32:00+00:00,5897.2500,2025-05-27 11:32:00+00:00,5901.5000,time_exit,4.9152,5887.4196,5921.8259,4.2500,0.4323,2025-05-27 07:32:01.079577679+00:00,5897.2500,2025-05-27 12:29:59.641465489+00:00,5897.2500,time_exit,0.0000,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 07:00:00+00:00,2025-05-27 07:03:00+00:00,21248.0000,2025-05-27 07:50:00+00:00,21357.8884,target,21.9777,21204.0446,21357.8884,109.8884,2.5000,2025-05-27 07:03:00.441962879+00:00,21248.0000,2025-05-27 07:50:28.639745469+00:00,21357.8884,target,2.5000,2025-05-27 07:50:28.639745469+00:00,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 07:00:00+00:00,2025-05-27 07:03:00+00:00,5883.2500,2025-05-27 07:46:00+00:00,5906.0848,target,4.5670,5874.1161,5906.0848,22.8348,2.5000,2025-05-27 07:03:00.441757599+00:00,5883.2500,2025-05-27 07:46:57.481487911+00:00,5906.0848,target,2.5000,2025-05-27 07:46:57.481487911+00:00,,
