label,n_features_used,best_iteration,test_year,n_train,n_val,n_test,pos_train,pos_test,base_rate_test,auc_train,auc_val,auc_test,accuracy_test,majority_accuracy_test,top_bucket_n,top_bucket_rate,top_bucket_lift_vs_base
label.strict.next_240m.partial_touch_rejected,2524,137,2020,3312,854,886,767,239,0.2697516930022573,0.9644218922498033,0.8830331140114335,0.8792172434085868,0.8284424379232506,0.7302483069977427,89,0.797752808988764,0.5280011159865067
label.strict.next_240m.partial_touch_rejected,2532,137,2021,4166,886,834,986,136,0.1630695443645084,0.962913333843622,0.8806981692135573,0.8106564975560424,0.8561151079136691,0.8369304556354916,84,0.5952380952380952,0.43216855087358685
label.strict.next_240m.partial_touch_rejected,2535,96,2022,5052,834,854,1225,202,0.23653395784543327,0.9474733232723451,0.822223158604416,0.8467168802769847,0.8243559718969555,0.7634660421545667,86,0.686046511627907,0.4495125537824737
label.strict.next_240m.partial_touch_rejected,2537,94,2023,5886,854,844,1361,178,0.2109004739336493,0.9429813145193046,0.8449857255664216,0.825420926544522,0.8424170616113744,0.7890995260663507,85,0.7764705882352941,0.5655701143016448
label.strict.next_240m.partial_touch_rejected,2537,90,2024,6740,844,872,1563,191,0.2190366972477064,0.9410802566744414,0.8245605155717516,0.8227045229144083,0.8268348623853211,0.7809633027522935,88,0.7386363636363636,0.5195996663886573
label.strict.next_240m.partial_touch_rejected,2537,133,2025,7584,872,867,1741,215,0.24798154555940022,0.9543880496188657,0.8308154777006405,0.8875160507918392,0.8477508650519031,0.7520184544405998,87,0.9080459770114943,0.660064431452094
