test_year,status,n_test,test_auc,base_rate,top10_n,top10_precision,top10_edge,label,side
2021,ok,4867,0.7210,0.1940,487,0.4107,0.2167,label.strict.next_240m.sweep_failed_immediately,all
2022,ok,4842,0.7248,0.1952,484,0.3967,0.2015,label.strict.next_240m.sweep_failed_immediately,all
2023,ok,4812,0.7418,0.2010,481,0.4927,0.2918,label.strict.next_240m.sweep_failed_immediately,all
2024,ok,4806,0.7298,0.1906,481,0.4574,0.2668,label.strict.next_240m.sweep_failed_immediately,all
2025,ok,4763,0.7480,0.2158,476,0.5063,0.2905,label.strict.next_240m.sweep_failed_immediately,all
2020,ok,4634,0.6411,0.1178,463,0.1965,0.0787,label.strict.next_240m.sweep_extended_continuation,all
2021,ok,4867,0.7157,0.1134,487,0.2444,0.1309,label.strict.next_240m.sweep_extended_continuation,all
2022,ok,4842,0.7220,0.1159,484,0.2748,0.1589,label.strict.next_240m.sweep_extended_continuation,all
2023,ok,4812,0.7554,0.1079,481,0.3347,0.2269,label.strict.next_240m.sweep_extended_continuation,all
2024,ok,4806,0.7476,0.1049,481,0.2952,0.1903,label.strict.next_240m.sweep_extended_continuation,all
2025,ok,4763,0.7513,0.1106,476,0.2857,0.1751,label.strict.next_240m.sweep_extended_continuation,all
2020,ok,2624,0.9016,0.1894,262,0.7137,0.5243,label.strict.next_60m.sweep_failed_recovered,high
2021,ok,2755,0.9135,0.2120,276,0.7681,0.5561,label.strict.next_60m.sweep_failed_recovered,high
2022,ok,2337,0.9016,0.2353,234,0.7265,0.4912,label.strict.next_60m.sweep_failed_recovered,high
2023,ok,2624,0.9123,0.2287,262,0.8015,0.5729,label.strict.next_60m.sweep_failed_recovered,high
2024,ok,2635,0.9177,0.2254,264,0.8220,0.5965,label.strict.next_60m.sweep_failed_recovered,high
2025,ok,2589,0.9060,0.2252,259,0.8147,0.5895,label.strict.next_60m.sweep_failed_recovered,high
2020,ok,2010,0.9066,0.2881,201,0.8607,0.5726,label.strict.next_60m.sweep_failed_recovered,low
2021,ok,2112,0.9081,0.2855,211,0.8578,0.5723,label.strict.next_60m.sweep_failed_recovered,low
2022,ok,2505,0.9035,0.2263,250,0.7440,0.5177,label.strict.next_60m.sweep_failed_recovered,low
2023,ok,2188,0.9085,0.2774,219,0.8356,0.5582,label.strict.next_60m.sweep_failed_recovered,low
2024,ok,2171,0.9157,0.2662,217,0.8387,0.5725,label.strict.next_60m.sweep_failed_recovered,low
2025,ok,2174,0.9070,0.2797,217,0.8249,0.5452,label.strict.next_60m.sweep_failed_recovered,low
