label,n_features_used,best_iteration,test_year,n_train,n_val,n_test,pos_train,pos_test,base_rate_test,auc_train,auc_val,auc_test,accuracy_test,majority_accuracy_test,top_bucket_n,top_bucket_rate,top_bucket_lift_vs_base
label.ob_confirmation.did_confirm,2866,168,2020,8568,1977,2010,8350,1944,0.9671641791044776,0.9740586716475307,0.9446811975787844,0.8384228083302157,0.9671641791044776,0.9671641791044776,201,1.0,0.032835820895522394
label.ob_confirmation.did_confirm,2868,95,2021,10545,2010,2112,10289,2064,0.9772727272727273,0.9570747202716492,0.8406518892630004,0.8863856589147286,0.9772727272727273,0.9772727272727273,212,1.0,0.022727272727272707
label.ob_confirmation.did_confirm,2870,94,2022,12555,2112,2505,12233,2438,0.973253493013972,0.9577083268808076,0.898094315245478,0.8469934984633845,0.973253493013972,0.973253493013972,251,1.0,0.026746506986027985
label.ob_confirmation.did_confirm,2872,100,2023,14667,2505,2188,14297,2147,0.9812614259597806,0.960578953437595,0.8544439410821202,0.8976166403489838,0.9812614259597806,0.9812614259597806,219,1.0,0.01873857404021939
label.ob_confirmation.did_confirm,2872,152,2024,17172,2188,2171,16735,2103,0.9686780285582681,0.9729176509036065,0.907176207300033,0.8829473301446112,0.9686780285582681,0.9686780285582681,218,1.0,0.03132197144173188
label.ob_confirmation.did_confirm,2872,118,2025,19360,2171,2168,18882,2102,0.9695571955719557,0.9639455388874042,0.8860171743447736,0.9285601014906437,0.9695571955719557,0.9695571955719557,217,1.0,0.030442804428044257
