config,signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,0.9438,1,2020-01-05 23:02:00+00:00,3219.2500,2020-01-05 23:38:00+00:00,3222.7589,stop,2.3393,3222.7589,3212.2321,-3.5089,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,0.9438,1,2020-01-05 23:02:00+00:00,3219.2500,2020-01-05 23:38:00+00:00,3222.7589,stop,2.3393,3222.7589,3212.2321,-3.5089,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9140,1,2020-01-26 23:02:00+00:00,9051.7500,2020-01-26 23:08:00+00:00,9023.7857,target,9.3214,9065.7321,9023.7857,27.9643,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9406,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-26 23:08:00+00:00,3256.1071,target,3.2143,3270.5714,3256.1071,9.6429,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9140,1,2020-01-26 23:02:00+00:00,9051.7500,2020-01-26 23:08:00+00:00,9023.7857,target,9.3214,9065.7321,9023.7857,27.9643,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9406,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-26 23:08:00+00:00,3256.1071,target,3.2143,3270.5714,3256.1071,9.6429,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-17 23:00:00+00:00,0.8990,1,2020-02-17 23:02:00+00:00,9594.0000,2020-02-17 23:03:00+00:00,9597.4821,stop,2.3214,9597.4821,9587.0357,-3.4821,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,0.9183,1,2020-02-23 23:05:00+00:00,3305.5000,2020-02-23 23:09:00+00:00,3298.0000,target,2.5000,3309.2500,3298.0000,7.5000,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,0.9183,1,2020-02-23 23:05:00+00:00,3305.5000,2020-02-23 23:09:00+00:00,3298.0000,target,2.5000,3309.2500,3298.0000,7.5000,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,0.9128,1,2020-03-08 22:02:00+00:00,2872.2500,2020-03-08 22:04:00+00:00,2839.0893,target,11.0536,2888.8304,2839.0893,33.1607,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,0.9128,1,2020-03-08 22:02:00+00:00,2872.2500,2020-03-08 22:04:00+00:00,2839.0893,target,11.0536,2888.8304,2839.0893,33.1607,2.0000
