slippage,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,family,entry_hour_utc
primary_2tick,2018,NQ.c.0,bullish,long,2018-01-02 00:00:00+00:00,2018-01-02 00:03:00+00:00,6417.5,2018-01-02 04:03:00+00:00,6413.75,time_exit,10.0848,6397.3304,6467.9241,-3.75,-0.1859,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-01-02 12:00:00+00:00,2018-01-02 12:02:00+00:00,6417.5,2018-01-02 14:25:00+00:00,6439.3973,target,4.3795,6408.7411,6439.3973,21.8973,2.5,Sweep reversed (filtered),12.0
primary_2tick,2018,ES.c.0,bullish,long,2018-01-02 12:00:00+00:00,2018-01-02 12:03:00+00:00,2682.5,2018-01-02 15:00:00+00:00,2688.8616,target,1.2723,2679.9554,2688.8616,6.3616,2.5,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-01-03 00:00:00+00:00,2018-01-03 00:08:00+00:00,2693.5,2018-01-03 04:08:00+00:00,2696.75,time_exit,1.6607,2696.8214,2685.1964,-3.25,-0.9785,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-03 07:00:00+00:00,2018-01-03 07:04:00+00:00,2696.5,2018-01-03 11:04:00+00:00,2697.75,time_exit,0.7232,2695.0536,2700.1161,1.25,0.8642,Sweep reversed (filtered),7.0
primary_2tick,2018,NQ.c.0,high,long,2018-01-03 07:00:00+00:00,2018-01-03 07:04:00+00:00,6523.0,2018-01-03 11:04:00+00:00,6527.75,time_exit,2.1696,6518.6607,6533.8482,4.75,1.0947,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-03 12:00:00+00:00,2018-01-03 12:05:00+00:00,2696.75,2018-01-03 14:29:00+00:00,2698.7232,stop,0.7366,2698.2232,2693.067,-1.9732,-1.3394,OB strict,
primary_2tick,2018,NQ.c.0,bearish,short,2018-01-03 12:00:00+00:00,2018-01-03 12:06:00+00:00,6526.0,2018-01-03 14:29:00+00:00,6531.3214,stop,2.4107,6530.8214,6513.9464,-5.3214,-1.1037,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-03 15:00:00+00:00,2018-01-03 15:03:00+00:00,2705.0,2018-01-03 17:51:00+00:00,2711.6964,target,1.3393,2702.3214,2711.6964,6.6964,2.5,Sweep reversed (filtered),15.0
primary_2tick,2018,NQ.c.0,high,long,2018-01-03 15:00:00+00:00,2018-01-03 15:03:00+00:00,6565.75,2018-01-03 19:03:00+00:00,6570.5,time_exit,5.1786,6555.3929,6591.6429,4.75,0.4586,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-04 00:00:00+00:00,2018-01-04 00:12:00+00:00,2711.25,2018-01-04 04:12:00+00:00,2713.25,time_exit,1.7812,2714.8125,2702.3438,-2.0,-0.5614,OB strict,
primary_2tick,2018,NQ.c.0,bearish,short,2018-01-04 01:00:00+00:00,2018-01-04 01:02:00+00:00,6585.75,2018-01-04 05:02:00+00:00,6593.5,time_exit,5.8259,6597.4018,6556.6205,-7.75,-0.6651,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-04 07:00:00+00:00,2018-01-04 07:03:00+00:00,2713.5,2018-01-04 11:03:00+00:00,2712.75,time_exit,1.0714,2711.3571,2718.8571,-0.75,-0.35,Sweep reversed (filtered),7.0
primary_2tick,2018,NQ.c.0,high,long,2018-01-04 07:00:00+00:00,2018-01-04 07:03:00+00:00,6598.25,2018-01-04 11:03:00+00:00,6593.25,time_exit,3.2946,6591.6607,6614.7232,-5.0,-0.7588,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,high,long,2018-01-04 15:00:00+00:00,2018-01-04 15:03:00+00:00,2724.75,2018-01-04 19:03:00+00:00,2726.0,time_exit,1.7143,2721.3214,2733.3214,1.25,0.3646,Sweep reversed (filtered),15.0
primary_2tick,2018,NQ.c.0,high,long,2018-01-04 15:00:00+00:00,2018-01-04 15:05:00+00:00,6594.5,2018-01-04 19:05:00+00:00,6596.5,time_exit,6.6429,6581.2143,6627.7143,2.0,0.1505,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bearish,short,2018-01-05 00:00:00+00:00,2018-01-05 00:03:00+00:00,2724.75,2018-01-05 04:03:00+00:00,2726.0,time_exit,1.8616,2728.4732,2715.442,-1.25,-0.3357,OB strict,
primary_2tick,2018,NQ.c.0,bearish,short,2018-01-05 01:00:00+00:00,2018-01-05 01:03:00+00:00,6606.25,2018-01-05 05:03:00+00:00,6612.0,time_exit,5.7455,6617.7411,6577.5223,-5.75,-0.5004,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-01-05 07:00:00+00:00,2018-01-05 07:11:00+00:00,2727.0,2018-01-05 09:51:00+00:00,2729.8795,target,0.5759,2725.8482,2729.8795,2.8795,2.5,Sweep reversed (filtered),7.0
primary_2tick,2018,NQ.c.0,high,long,2018-01-05 08:00:00+00:00,2018-01-05 08:02:00+00:00,6615.25,2018-01-05 10:33:00+00:00,6626.8348,target,2.317,6610.6161,6626.8348,11.5848,2.5,Sweep reversed (filtered),8.0
primary_2tick,2018,ES.c.0,high,long,2018-01-05 15:00:00+00:00,2018-01-05 15:03:00+00:00,2731.5,2018-01-05 19:03:00+00:00,2733.5,time_exit,1.8929,2727.7143,2740.9643,2.0,0.5283,Sweep reversed (filtered),15.0
primary_2tick,2018,NQ.c.0,high,long,2018-01-05 15:00:00+00:00,2018-01-05 15:03:00+00:00,6624.5,2018-01-05 18:44:00+00:00,6654.6786,target,6.0357,6612.4286,6654.6786,30.1786,2.5,Sweep reversed (filtered),15.0
