matrix,snapshot,side,label,n_filtered,n_folds_ok,gpu_mean_auc,gpu_min_auc,gpu_top_lift,gpu_base_rate,cpu_mean_auc,cpu_min_auc,cpu_top_lift,cpu_base_rate,delta_mean_auc,delta_top_lift,status,elapsed_s
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.forward_10c.after_tap_failed_1x_against,209339,6,0.7185986809335921,0.7146113653541881,0.1358622273524048,0.11912207417435744,0.7174987676431251,0.7121151399092831,0.13335907412272383,0.11912207417435744,0.0010999132904669917,0.0025031532296809766,ok,104.8
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.no_touch_continuation,209339,6,0.7194554616566059,0.6803148435285995,0.09077339164770126,0.05168996291047257,0.7147627999169713,0.6707927647088443,0.08875791404402716,0.05168996291047257,0.004692661739634563,0.0020154776036740985,ok,92.9
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.forward_10c.after_tap_1x_clean,209339,6,0.6947742648650377,0.6738550358340448,0.08419011447143067,0.07143827988998719,0.6916072917096563,0.6720226808715364,0.07854787335581528,0.07143827988998719,0.003166973155381392,0.0056422411156153846,ok,99.2
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.tap_wick_rejected,209339,6,0.5316891652099696,0.5259187055156243,0.03204139104851156,0.4530386578945586,0.5329809201713481,0.5273702660663947,0.031743720865416186,0.4530386578945586,-0.0012917549613785662,0.0002976701830953721,ok,72.0
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_240m.partial_touch_rejected,9438,6,0.8453720202487306,0.8106564975560424,0.5258194054641606,0.22454565199215915,0.8368205398236755,0.8051365245238498,0.534001994190643,0.22454565199215915,0.008551480425055047,-0.008182588726482365,ok,15.5
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_240m.partial_touch_rejected,4873,6,0.832499034497595,0.7257554184464484,0.5206135235448782,0.21794544324471157,0.8328948533700138,0.737778832463218,0.5043623643555454,0.21794544324471157,-0.0003958188724187961,0.016251159189332842,ok,15.9
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_60m.partial_touch_rejected,4565,6,0.8324373426852549,0.7813413048251169,0.5014824356031423,0.33629013133609137,0.8295734854890681,0.7766148043375767,0.5029073995281063,0.33629013133609137,0.0028638571961868697,-0.00142496392496394,ok,13.2
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_240m.unfilled_clean_continuation,9438,6,0.8314349607517405,0.8000639658848614,0.4770513739398791,0.2156654204931625,0.8267891518812954,0.7981148542503055,0.4734050869883655,0.2156654204931625,0.004645808870445078,0.0036462869515136442,ok,15.3
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_60m.partial_touch_rejected,9438,6,0.8309354130879244,0.790862462006079,0.5491545390387582,0.32903526959745966,0.8260646255263078,0.7920909321175278,0.5695915493593278,0.32903526959745966,0.00487078756161663,-0.02043701032056955,ok,15.9
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_1d.partial_touch_rejected,9438,6,0.8441965185109072,0.8038811953352769,0.3415932829557595,0.09297507271585466,0.8247730532600747,0.7908892128279883,0.31211145445447996,0.09297507271585466,0.019423465250832495,0.02948182850127956,ok,13.3
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_1d.unfilled_clean_continuation,9438,6,0.8392536279504021,0.8013301749271137,0.30898240743788347,0.09258012800811373,0.8225988857134262,0.7941326530612245,0.30421583614191255,0.09258012800811373,0.01665474223697594,0.004766571295970912,ok,13.8
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_240m.unfilled_clean_continuation,4873,6,0.8277952305973123,0.7303889255108766,0.5191443035393195,0.20784027361542215,0.8223970788781115,0.7103658536585366,0.46157677662308877,0.20784027361542215,0.005398151719200772,0.05756752691623074,ok,14.6
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_240m.partial_touch_rejected,4565,6,0.8340529216084867,0.7474643991394324,0.497592949886062,0.22681982869338316,0.8222303527537904,0.7335314004712632,0.4599105705370161,0.22681982869338316,0.011822568854696236,0.03768237934904589,ok,12.3
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_240m.unfilled_clean_continuation,4565,6,0.8220698224436703,0.7380135232045897,0.42770479438303394,0.21871375620218325,0.8142675012186537,0.7592972031554145,0.427740869419109,0.21871375620218325,0.007802321225016673,-3.607503607505613e-05,ok,12.1
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_1d.partial_touch_rejected,4565,6,0.8131479101491935,0.6964539007092199,0.32136509553293086,0.10196142362692166,0.7869114082932384,0.7356973995271868,0.26085122668572863,0.10196142362692166,0.026236501855955163,0.060513868847202223,ok,11.2
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_1d.unfilled_clean_continuation,4565,6,0.811647075728538,0.6964539007092199,0.32040078761418644,0.10116206311533094,0.7828706235391426,0.7356973995271868,0.2540748296215618,0.10116206311533094,0.028776452189395396,0.06632595799262464,ok,12.0
