label,n_features_used,best_iteration,test_year,n_train,n_val,n_test,pos_train,pos_test,base_rate_test,auc_train,auc_val,auc_test,accuracy_test,majority_accuracy_test,top_bucket_n,top_bucket_rate,top_bucket_lift_vs_base
label.manipulation_range_reaction.range_expanded_2x_manipulation,2866,242,2020,8568,1977,2010,8153,1930,0.9601990049751243,0.9902074629931475,0.8976828434723171,0.8763601036269429,0.9621890547263682,0.9601990049751243,201,1.0,0.03980099502487566
label.manipulation_range_reaction.range_expanded_2x_manipulation,2868,200,2021,10545,2010,2112,10053,2037,0.9644886363636364,0.9868449251487441,0.8786269430051813,0.939944362624775,0.9644886363636364,0.9644886363636364,212,1.0,0.035511363636363646
label.manipulation_range_reaction.range_expanded_2x_manipulation,2870,264,2022,12555,2112,2505,11983,2423,0.9672654690618763,0.9920534276705519,0.9466993945344461,0.9301812910824114,0.9644710578842315,0.9672654690618763,251,1.0,0.03273453093812373
label.manipulation_range_reaction.range_expanded_2x_manipulation,2872,187,2023,14667,2505,2188,14020,2099,0.9593235831809872,0.9839457101469087,0.9295622238104346,0.9375357982131673,0.9620658135283364,0.9593235831809872,219,1.0,0.040676416819012795
label.manipulation_range_reaction.range_expanded_2x_manipulation,2872,208,2024,17172,2188,2171,16443,2090,0.9626900046061723,0.987047118836848,0.9395592336639706,0.9337822671156004,0.9631506218332566,0.9626900046061723,218,1.0,0.03730999539382773
label.manipulation_range_reaction.range_expanded_2x_manipulation,2872,261,2025,19360,2171,2168,18542,2048,0.9446494464944649,0.9919802106576782,0.9318861125878669,0.8658264160156249,0.9455719557195572,0.9446494464944649,217,0.9907834101382489,0.04613396364378397
