test_year,status,n_test,test_auc,base_rate,top10_n,top10_precision,top10_edge,candidate_name,matrix,snapshot,side,label
2022,ok,411,0.8816,0.3966,41,0.9268,0.5302,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2023,ok,427,0.7748,0.3513,43,0.9070,0.5557,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2024,ok,337,0.7697,0.2018,34,0.7941,0.5923,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2025,ok,427,0.8203,0.3021,43,0.6977,0.3956,opening_gap_strict / gap_down / partial_touch_rejected@60m,opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_down,label.strict.next_60m.partial_touch_rejected
2020,ok,93,0.9392,0.3656,9,1.0000,0.6344,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2021,ok,114,0.9919,0.3509,11,1.0000,0.6491,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2022,ok,95,0.9660,0.4526,10,1.0000,0.5474,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2023,ok,130,0.9549,0.4077,13,1.0000,0.5923,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2024,ok,142,0.9574,0.4437,14,1.0000,0.5563,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2025,ok,125,0.9546,0.4320,12,1.0000,0.5680,smt_previous_day / high / n1_thesis_confirmed_strict,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_thesis_confirmed_strict
2020,ok,93,0.9675,0.3763,9,1.0000,0.6237,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2021,ok,114,0.9891,0.3421,11,1.0000,0.6579,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2022,ok,95,0.9705,0.4526,10,1.0000,0.5474,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2023,ok,130,0.9719,0.4000,13,1.0000,0.6000,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2024,ok,142,0.9700,0.4507,14,1.0000,0.5493,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2025,ok,125,0.9437,0.4320,12,0.9167,0.4847,smt_previous_day / high / n1_close_moved_with_thesis,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_close_moved_with_thesis
2020,ok,93,0.9392,0.3656,9,1.0000,0.6344,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2021,ok,114,0.9919,0.3509,11,1.0000,0.6491,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2022,ok,95,0.9660,0.4526,10,1.0000,0.5474,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
