signal,2020,2021,2022,2023,2024,2025
ogap_gap_down_rejection,0.7409,0.7663,0.8067,0.7567,0.6471,0.7765
ogap_gap_up_rejection,0.6925,0.7537,0.6867,0.7190,0.7353,0.7484
ogap_strict_partial_touch,0.8504,0.7950,0.8481,0.7909,0.8477,0.8536
