label,n_features_used,best_iteration,test_year,n_train,n_val,n_test,pos_train,pos_test,base_rate_test,auc_train,auc_val,auc_test,accuracy_test,majority_accuracy_test,top_bucket_n,top_bucket_rate,top_bucket_lift_vs_base
label.swept_level_recovery.level_recovered,2860,238,2020,10378,2716,2624,7111,1783,0.6794969512195121,0.9816942086345443,0.7969716786997314,0.7429401608399584,0.7164634146341463,0.6794969512195121,263,0.9429657794676806,0.2634688282481684
label.swept_level_recovery.level_recovered,2865,255,2021,13094,2624,2755,8821,1804,0.6548094373865698,0.9784953931898732,0.7658604217530742,0.797573624216311,0.74010889292196,0.6548094373865698,276,0.9601449275362319,0.3053354901496621
label.swept_level_recovery.level_recovered,2865,106,2022,15718,2755,2337,10604,1771,0.7578091570389388,0.93522704037865,0.7998943812208412,0.7957508384993405,0.8031664527171587,0.7578091570389388,234,0.9444444444444444,0.1866352874055056
label.swept_level_recovery.level_recovered,2866,267,2023,18473,2337,2624,12408,1671,0.6368140243902439,0.9704821717021116,0.8169208269069999,0.7942934937891806,0.7378048780487805,0.6368140243902439,263,0.9505703422053232,0.3137563178150793
label.swept_level_recovery.level_recovered,2867,119,2024,20810,2624,2635,14179,1729,0.6561669829222011,0.9292401951824587,0.799461588746489,0.8203525880416783,0.7468690702087286,0.6561669829222011,264,0.9696969696969697,0.3135299867747686
label.swept_level_recovery.level_recovered,2867,251,2025,23434,2635,2589,15850,1745,0.6740054074932407,0.9614644353378855,0.8249737946496399,0.8104075286193457,0.7624565469293163,0.6740054074932407,259,0.9382239382239382,0.26421853073069757
