matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,all,label.strict.next_1d.filled_then_continued_through,0.7730,4277.0000,2850.0000,3.1742,0.0011,0.5011,61.0822,3.0000,2850.0000,14.4345,0.0051,0.4825,38.2254,3.0000,281.0000,0.4422,0.0016,0.4769,reversed,14.4345,0.0051,3.0000,-0.4422,False,
sweep_snapshots_xctx_fvggeom,at_fire,high,label.swept_level_recovery.level_recovered,0.7719,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
macro_event_snapshots_xctx,at_fire,high,label.next_15m.swept_both_pre_60m_sides,0.7708,3447.0000,2296.0000,-104.5425,-0.0455,0.3689,161.3630,2.0000,2296.0000,170.2603,0.0742,0.4386,46.8294,4.0000,221.0000,-35.4255,-0.1603,0.3167,reversed,170.2603,0.0742,4.0000,35.4255,False,
itr_snapshots_xctx,at_fire,bullish,label.next_interval.range_expanded_1x_interval,0.7707,7792.0000,3206.0000,148.2995,0.0463,0.3752,69.7402,5.0000,3206.0000,-92.4919,-0.0288,0.3362,113.2367,3.0000,333.0000,32.9458,0.0989,0.3874,natural,148.2995,0.0463,5.0000,32.9458,False,
itr_snapshots_xctx,at_fire,all,label.next_interval.expanded_range_1_25x,0.7703,14768.0000,6075.0000,30.2332,0.0050,0.3562,155.2653,4.0000,6075.0000,62.3279,0.0103,0.3592,97.4602,4.0000,607.0000,24.2162,0.0399,0.3789,reversed,62.3279,0.0103,4.0000,-24.2162,False,
smt_previous_day_snapshots_xctx_fvggeom,at_period_close,high,label.n2_thesis_confirmed_strict,0.7696,691.0000,495.0000,-173.8581,-0.3512,0.2667,173.7588,0.0000,495.0000,165.3959,0.3341,0.6202,4.5872,6.0000,50.0000,-22.8739,-0.4575,0.1600,reversed,165.3959,0.3341,6.0000,22.8739,False,
itr_snapshots_xctx,at_fire,all,label.next_interval.range_expanded_1x_interval,0.7692,14768.0000,6075.0000,30.2332,0.0050,0.3562,155.2653,4.0000,6075.0000,62.3279,0.0103,0.3592,97.4602,4.0000,607.0000,24.2162,0.0399,0.3789,reversed,62.3279,0.0103,4.0000,-24.2162,False,
itr_snapshots_xctx,at_fire,bullish,label.next_interval.expanded_range_1_25x,0.7671,7792.0000,3206.0000,148.2995,0.0463,0.3752,69.7402,5.0000,3206.0000,-92.4919,-0.0288,0.3362,113.2367,3.0000,333.0000,32.9458,0.0989,0.3874,natural,148.2995,0.0463,5.0000,32.9458,False,
itr_snapshots_xctx,at_fire,bearish,label.next_interval.expanded_range_1_25x,0.7622,6903.0000,2830.0000,-132.9364,-0.0470,0.3336,170.2964,1.0000,2830.0000,143.7398,0.0508,0.3845,48.2452,3.0000,280.0000,-50.0717,-0.1788,0.2964,reversed,143.7398,0.0508,3.0000,50.0717,False,
itr_snapshots_xctx,at_fire,bearish,label.next_interval.range_expanded_1x_interval,0.7595,6903.0000,2830.0000,-132.9364,-0.0470,0.3336,170.2964,1.0000,2830.0000,143.7398,0.0508,0.3845,48.2452,3.0000,280.0000,-50.0717,-0.1788,0.2964,reversed,143.7398,0.0508,3.0000,50.0717,False,
smt_previous_day_snapshots_xctx_fvggeom,at_period_close,all,label.n2_thesis_confirmed_strict,0.7529,1331.0000,948.0000,-275.2172,-0.2903,0.3133,275.1179,0.0000,948.0000,337.3900,0.3559,0.5928,6.1146,6.0000,90.0000,-29.8511,-0.3317,0.2889,reversed,337.3900,0.3559,6.0000,29.8511,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_inside_fvg_range,0.7492,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.closed_outside_fvg_range,0.7492,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_1d.filled_then_continued_through,0.7490,2319.0000,1563.0000,16.7663,0.0107,0.5240,57.7755,3.0000,1563.0000,5.1753,0.0033,0.4619,32.4250,3.0000,154.0000,-4.5687,-0.0297,0.4935,natural,16.7663,0.0107,3.0000,-4.5687,False,
tp_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.next_period.took_parent_low,0.7489,2758.0000,1826.0000,151.6435,0.0830,0.5619,29.4463,5.0000,1826.0000,-147.5239,-0.0808,0.4157,156.9681,0.0000,178.0000,8.7124,0.0489,0.5506,natural,151.6435,0.0830,5.0000,8.7124,False,
smt_previous_day_snapshots_xctx_fvggeom,at_period_close,low,label.n2_thesis_confirmed_strict,0.7478,640.0000,453.0000,-101.3591,-0.2238,0.3642,103.0969,0.0000,453.0000,171.9941,0.3797,0.5629,7.3391,6.0000,45.0000,-11.7066,-0.2601,0.3778,reversed,171.9941,0.3797,6.0000,11.7066,False,
