matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
sweep_snapshots_xctx_fvggeom,at_fire,all,label.swept_level_recovery.level_recovered,0.7926,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom,at_fire,all,label.manipulation_range_reaction.one_sided_took_manipulation_low,0.7029,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.ob_confirmation.did_confirm,0.8973,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,all,label.ob_confirmation.did_confirm,0.8952,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.swept_level_recovery.level_recovered,0.7949,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom,at_fire,all,label.ob_confirmation.did_confirm,0.8963,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,all,label.manipulation_range_reaction.range_expanded_2x_manipulation,0.9135,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.manipulation_range_reaction.took_manipulation_high,0.7009,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.manipulation_range_reaction.one_sided_took_manipulation_low,0.6987,21836.0000,14541.0000,-3187.3355,-0.2192,0.3439,3193.8541,0.0000,14541.0000,4362.0458,0.3000,0.5251,25.9198,6.0000,1464.0000,-309.7415,-0.2116,0.3525,reversed,4362.0458,0.3000,6.0000,309.7415,True,
sweep_snapshots_xctx_fvggeom,at_fire,low,label.swept_level_recovery.level_recovered,0.7968,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,low,label.ob_confirmation.did_confirm,0.8802,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,low,label.manipulation_range_reaction.range_expanded_2x_manipulation,0.9139,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,low,label.swept_level_recovery.level_recovered,0.7972,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom,at_fire,low,label.ob_confirmation.did_confirm,0.8637,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
