signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-13 23:00:00+00:00,0.7404,0,2020-01-13 23:05:00+00:00,9092.7500,2020-01-14 00:19:00+00:00,9112.3036,stop,9.7768,9112.3036,9043.8661,-19.5536,-1.0000
gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.7418,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-27 03:02:00+00:00,3261.7500,time_exit,7.0045,3279.7589,3230.7277,4.0000,0.2855
gap_down_rejection,2020,YM.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.7418,1,2020-01-26 23:02:00+00:00,28697.0000,2020-01-27 03:02:00+00:00,28672.0000,time_exit,64.4464,28825.8929,28374.7679,25.0000,0.1940
gap_down_rejection,2020,RTY.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.7418,1,2020-01-26 23:02:00+00:00,1648.9000,2020-01-27 03:02:00+00:00,1647.2000,time_exit,4.5214,1657.9429,1626.2929,1.7000,0.1880
gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.7418,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-27 03:02:00+00:00,3261.7500,time_exit,7.0045,3279.7589,3230.7277,4.0000,0.2855
gap_down_rejection,2020,YM.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.7418,1,2020-01-26 23:02:00+00:00,28697.0000,2020-01-27 03:02:00+00:00,28672.0000,time_exit,64.4464,28825.8929,28374.7679,25.0000,0.1940
gap_down_rejection,2020,RTY.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.7418,1,2020-01-26 23:02:00+00:00,1648.9000,2020-01-27 03:02:00+00:00,1647.2000,time_exit,4.5214,1657.9429,1626.2929,1.7000,0.1880
gap_down_rejection,2020,YM.c.0,gap_down,short,2020-01-27 23:00:00+00:00,0.7425,0,2020-01-27 23:08:00+00:00,28530.0000,2020-01-28 03:08:00+00:00,28565.0000,time_exit,56.0893,28642.1786,28249.5536,-35.0000,-0.3120
gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.8023,0,2020-02-02 23:04:00+00:00,9029.0000,2020-02-03 02:00:00+00:00,9085.7589,stop,28.3795,9085.7589,8887.1027,-56.7589,-1.0000
gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7919,0,2020-02-02 23:04:00+00:00,3233.0000,2020-02-03 02:01:00+00:00,3249.5536,stop,8.2768,3249.5536,3191.6161,-16.5536,-1.0000
gap_down_rejection,2020,YM.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7844,0,2020-02-02 23:04:00+00:00,28270.0000,2020-02-03 01:37:00+00:00,28404.5714,stop,67.2857,28404.5714,27933.5714,-134.5714,-1.0000
gap_down_rejection,2020,RTY.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.8056,0,2020-02-02 23:02:00+00:00,1618.3000,2020-02-03 01:37:00+00:00,1627.2464,stop,4.4732,1627.2464,1595.9339,-8.9464,-1.0000
gap_down_rejection,2020,6N.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7420,1,2020-02-02 23:02:00+00:00,0.6464,2020-02-03 03:02:00+00:00,0.6467,time_exit,0.0004,0.6473,0.6443,-0.0003,-0.3500
gap_down_rejection,2020,CL.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7520,1,2020-02-02 23:04:00+00:00,51.1600,2020-02-03 03:04:00+00:00,51.2400,time_exit,0.2925,51.7450,49.6975,-0.0800,-0.1368
gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.8023,0,2020-02-02 23:04:00+00:00,9029.0000,2020-02-03 02:00:00+00:00,9085.7589,stop,28.3795,9085.7589,8887.1027,-56.7589,-1.0000
gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7919,0,2020-02-02 23:04:00+00:00,3233.0000,2020-02-03 02:01:00+00:00,3249.5536,stop,8.2768,3249.5536,3191.6161,-16.5536,-1.0000
gap_down_rejection,2020,YM.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7844,0,2020-02-02 23:04:00+00:00,28270.0000,2020-02-03 01:37:00+00:00,28404.5714,stop,67.2857,28404.5714,27933.5714,-134.5714,-1.0000
gap_down_rejection,2020,RTY.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.8056,0,2020-02-02 23:02:00+00:00,1618.3000,2020-02-03 01:37:00+00:00,1627.2464,stop,4.4732,1627.2464,1595.9339,-8.9464,-1.0000
gap_down_rejection,2020,6N.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7420,1,2020-02-02 23:02:00+00:00,0.6464,2020-02-03 03:02:00+00:00,0.6467,time_exit,0.0004,0.6473,0.6443,-0.0003,-0.3500
gap_down_rejection,2020,CL.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.7520,1,2020-02-02 23:04:00+00:00,51.1600,2020-02-03 03:04:00+00:00,51.2400,time_exit,0.2925,51.7450,49.6975,-0.0800,-0.1368
gap_down_rejection,2020,YM.c.0,gap_down,short,2020-02-03 23:00:00+00:00,0.7465,1,2020-02-03 23:02:00+00:00,28305.0000,2020-02-04 01:00:00+00:00,28416.7500,stop,55.8750,28416.7500,28025.6250,-111.7500,-1.0000
