config,signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,0.9438,1,2020-01-05 23:02:00+00:00,3219.2500,2020-01-05 23:59:00+00:00,3223.9286,stop,2.3393,3223.9286,3209.8929,-4.6786,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,0.9438,1,2020-01-05 23:02:00+00:00,3219.2500,2020-01-05 23:59:00+00:00,3223.9286,stop,2.3393,3223.9286,3209.8929,-4.6786,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9140,1,2020-01-26 23:02:00+00:00,9051.7500,2020-01-26 23:08:00+00:00,9014.4643,target,9.3214,9070.3929,9014.4643,37.2857,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9406,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-26 23:45:00+00:00,3252.8929,target,3.2143,3272.1786,3252.8929,12.8571,2.0000
v5_baseline,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9140,1,2020-01-26 23:02:00+00:00,9051.7500,2020-01-26 23:08:00+00:00,9014.4643,target,9.3214,9070.3929,9014.4643,37.2857,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9406,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-26 23:45:00+00:00,3252.8929,target,3.2143,3272.1786,3252.8929,12.8571,2.0000
v5_baseline,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-17 23:00:00+00:00,0.8990,1,2020-02-17 23:02:00+00:00,9594.0000,2020-02-17 23:05:00+00:00,9598.6429,stop,2.3214,9598.6429,9584.7143,-4.6429,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,0.9183,1,2020-02-23 23:05:00+00:00,3305.5000,2020-02-23 23:11:00+00:00,3295.5000,target,2.5000,3310.5000,3295.5000,10.0000,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,0.9183,1,2020-02-23 23:05:00+00:00,3305.5000,2020-02-23 23:11:00+00:00,3295.5000,target,2.5000,3310.5000,3295.5000,10.0000,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,0.9128,1,2020-03-08 22:02:00+00:00,2872.2500,2020-03-08 22:48:00+00:00,2828.0357,target,11.0536,2894.3571,2828.0357,44.2143,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,0.9128,1,2020-03-08 22:02:00+00:00,2872.2500,2020-03-08 22:48:00+00:00,2828.0357,target,11.0536,2894.3571,2828.0357,44.2143,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-22 22:00:00+00:00,0.9073,1,2020-03-22 22:03:00+00:00,2180.0000,2020-03-22 23:39:00+00:00,2210.3214,stop,15.1607,2210.3214,2119.3571,-30.3214,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-22 22:00:00+00:00,0.9073,1,2020-03-22 22:03:00+00:00,2180.0000,2020-03-22 23:39:00+00:00,2210.3214,stop,15.1607,2210.3214,2119.3571,-30.3214,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-29 22:00:00+00:00,0.8941,1,2020-03-29 22:03:00+00:00,2467.7500,2020-03-29 22:05:00+00:00,2490.0357,stop,11.1429,2490.0357,2423.1786,-22.2857,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-29 22:00:00+00:00,0.8941,1,2020-03-29 22:03:00+00:00,2467.7500,2020-03-29 22:05:00+00:00,2490.0357,stop,11.1429,2490.0357,2423.1786,-22.2857,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-03 22:00:00+00:00,0.9295,1,2020-05-03 22:04:00+00:00,2792.7500,2020-05-03 23:41:00+00:00,2774.3214,target,4.6071,2801.9643,2774.3214,18.4286,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-03 22:00:00+00:00,0.9295,1,2020-05-03 22:04:00+00:00,2792.7500,2020-05-03 23:41:00+00:00,2774.3214,target,4.6071,2801.9643,2774.3214,18.4286,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-24 22:00:00+00:00,0.9017,1,2020-05-24 22:04:00+00:00,2952.0000,2020-05-24 22:18:00+00:00,2957.7143,stop,2.8571,2957.7143,2940.5714,-5.7143,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-24 22:00:00+00:00,0.9017,1,2020-05-24 22:04:00+00:00,2952.0000,2020-05-24 22:18:00+00:00,2957.7143,stop,2.8571,2957.7143,2940.5714,-5.7143,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-06-14 22:00:00+00:00,0.9250,1,2020-06-14 22:03:00+00:00,3003.0000,2020-06-15 02:03:00+00:00,2998.7500,time_exit,6.7500,3016.5000,2976.0000,4.2500,0.3148
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-06-14 22:00:00+00:00,0.9250,1,2020-06-14 22:03:00+00:00,3003.0000,2020-06-15 02:03:00+00:00,2998.7500,time_exit,6.7500,3016.5000,2976.0000,4.2500,0.3148
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-06-21 22:00:00+00:00,0.9133,1,2020-06-21 22:02:00+00:00,3040.0000,2020-06-21 22:55:00+00:00,3052.1429,stop,6.0714,3052.1429,3015.7143,-12.1429,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-06-21 22:00:00+00:00,0.9133,1,2020-06-21 22:02:00+00:00,3040.0000,2020-06-21 22:55:00+00:00,3052.1429,stop,6.0714,3052.1429,3015.7143,-12.1429,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-06-28 22:00:00+00:00,0.9442,1,2020-06-28 22:02:00+00:00,2986.5000,2020-06-28 22:41:00+00:00,2998.6429,stop,6.0714,2998.6429,2962.2143,-12.1429,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-06-28 22:00:00+00:00,0.9442,1,2020-06-28 22:02:00+00:00,2986.5000,2020-06-28 22:41:00+00:00,2998.6429,stop,6.0714,2998.6429,2962.2143,-12.1429,-1.0000
v5_baseline,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-10-25 22:00:00+00:00,0.8974,1,2020-10-25 22:03:00+00:00,11633.2500,2020-10-25 22:15:00+00:00,11587.8929,target,11.3393,11655.9286,11587.8929,45.3571,2.0000
v5_baseline,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-10-25 22:00:00+00:00,0.8974,1,2020-10-25 22:03:00+00:00,11633.2500,2020-10-25 22:15:00+00:00,11587.8929,target,11.3393,11655.9286,11587.8929,45.3571,2.0000
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-11-01 23:00:00+00:00,0.9505,1,2020-11-01 23:05:00+00:00,3269.2500,2020-11-02 03:05:00+00:00,3275.0000,time_exit,8.7143,3286.6786,3234.3929,-5.7500,-0.3299
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-11-01 23:00:00+00:00,0.9505,1,2020-11-01 23:05:00+00:00,3269.2500,2020-11-02 03:05:00+00:00,3275.0000,time_exit,8.7143,3286.6786,3234.3929,-5.7500,-0.3299
v5_baseline,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-12-20 23:00:00+00:00,0.9136,1,2020-12-20 23:03:00+00:00,12742.5000,2020-12-21 03:03:00+00:00,12741.2500,time_exit,9.8929,12762.2857,12702.9286,1.2500,0.0632
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-12-20 23:00:00+00:00,0.9041,1,2020-12-20 23:03:00+00:00,3711.5000,2020-12-21 00:17:00+00:00,3701.1429,target,2.5893,3716.6786,3701.1429,10.3571,2.0000
v5_baseline,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-12-20 23:00:00+00:00,0.9136,1,2020-12-20 23:03:00+00:00,12742.5000,2020-12-21 03:03:00+00:00,12741.2500,time_exit,9.8929,12762.2857,12702.9286,1.2500,0.0632
v5_baseline,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-12-20 23:00:00+00:00,0.9041,1,2020-12-20 23:03:00+00:00,3711.5000,2020-12-21 00:17:00+00:00,3701.1429,target,2.5893,3716.6786,3701.1429,10.3571,2.0000
