window,family,n,cum_r,avg_r,win_rate,max_dd_r,yrs_pos,per_year_cum_r,per_symbol_cum_r
locked_holdout_1,OB strict,6192,2286.8219254922105,0.3693187864167007,0.5889857881136951,18.982984647786623,2,"{2018: 1142.843192437908, 2019: 1143.9787330543027}","{'ES.c.0': 598.0357777541736, 'NQ.c.0': 793.418500348583, 'YM.c.0': 895.3676473894542}"
locked_holdout_1,Sweep reversed (filtered),2872,1458.1712055620196,0.5077197790954108,0.5334261838440112,23.629885754732413,2,"{2018: 817.6393876880624, 2019: 640.5318178739572}","{'ES.c.0': 408.819956282467, 'NQ.c.0': 549.611653856987, 'YM.c.0': 499.73959542256557}"
locked_holdout_2,OB strict,357,174.3498512764055,0.48837493354735434,0.6442577030812325,5.532405631614239,1,{2026: 174.34985127640553},"{'ES.c.0': 59.61069553727537, 'NQ.c.0': 58.192045840937375, 'YM.c.0': 56.54710989819279}"
locked_holdout_2,Sweep reversed (filtered),168,144.1511993793793,0.8580428534486864,0.6726190476190477,6.052352159144675,1,{2026: 144.15119937937934},"{'ES.c.0': 48.37525252215103, 'NQ.c.0': 35.91418689715698, 'YM.c.0': 59.861759960071325}"
