label,n_features_used,best_iteration,test_year,n_train,n_val,n_test,pos_train,pos_test,base_rate_test,auc_train,auc_val,auc_test,accuracy_test,majority_accuracy_test,top_bucket_n,top_bucket_rate,top_bucket_lift_vs_base
label.swept_reference_reaction.first_bar_down_then_final_up,2860,126,2020,10378,2716,2624,1241,290,0.11051829268292683,0.9429718202203948,0.8399613253906124,0.8261250480158377,0.8894817073170732,0.8894817073170732,263,0.33460076045627374,0.2240824677733469
label.swept_reference_reaction.first_bar_down_then_final_up,2865,144,2021,13094,2624,2755,1594,328,0.1190562613430127,0.9495100103649554,0.8285369204857727,0.8269883023304894,0.8805807622504537,0.8809437386569873,276,0.31521739130434784,0.19616112996133514
label.swept_reference_reaction.first_bar_down_then_final_up,2865,184,2022,15718,2755,2337,1884,239,0.10226786478391099,0.9556194935889821,0.8302129498427246,0.8019831598932636,0.8964484381685922,0.897732135216089,234,0.28205128205128205,0.17978341726737107
label.swept_reference_reaction.first_bar_down_then_final_up,2866,108,2023,18473,2337,2624,2212,276,0.10518292682926829,0.9283227166965458,0.8074516076279062,0.8342622768683802,0.8940548780487805,0.8948170731707317,263,0.3612167300380228,0.2560338032087545
label.swept_reference_reaction.first_bar_down_then_final_up,2867,231,2024,20810,2624,2635,2451,309,0.11726755218216318,0.9589926723039508,0.8392063550848085,0.833356986033776,0.8800759013282733,0.8827324478178368,264,0.32575757575757575,0.20849002357541258
label.swept_reference_reaction.first_bar_down_then_final_up,2867,142,2025,23434,2635,2589,2727,323,0.12475859405175743,0.9318095602802501,0.839828086607841,0.8323773974680224,0.8756276554654306,0.8752414059482425,259,0.39768339768339767,0.27292480363164023
