test_year,signal_name,fire_ts,symbol,anchor_side,p_test,y_true,direction_rule
2025,smt_pd_high_thesis,2025-03-06 04:00:00+00:00,NQ.c.0,high,0.9668,1,fixed_short
2025,smt_pd_high_thesis,2025-03-09 22:00:00+00:00,YM.c.0,high,0.9554,1,fixed_short
2025,smt_pd_high_thesis,2025-03-10 02:00:00+00:00,NQ.c.0,high,0.9584,1,fixed_short
2025,smt_pd_high_thesis,2025-05-21 00:00:00+00:00,ES.c.0,high,0.9888,1,fixed_short
2025,smt_pd_high_thesis,2025-05-28 10:00:00+00:00,ES.c.0,high,0.9778,1,fixed_short
2025,smt_pd_high_thesis,2025-07-29 00:00:00+00:00,NQ.c.0,high,0.9712,1,fixed_short
2025,smt_pd_high_thesis,2025-07-31 00:00:00+00:00,ES.c.0,high,0.9785,1,fixed_short
2025,smt_pd_high_thesis,2025-08-11 00:00:00+00:00,YM.c.0,high,0.9787,1,fixed_short
2025,smt_pd_high_thesis,2025-10-22 03:00:00+00:00,ES.c.0,high,0.9613,1,fixed_short
2025,smt_pd_high_thesis,2025-11-06 00:00:00+00:00,NQ.c.0,high,0.9699,1,fixed_short
2025,smt_pd_high_thesis,2025-11-17 00:00:00+00:00,ES.c.0,high,0.9669,1,fixed_short
2020,ogap_gap_down_rejection,2020-01-05 23:00:00+00:00,ES.c.0,gap_down,0.9438,1,fixed_short
2020,ogap_gap_down_rejection,2020-01-05 23:00:00+00:00,ES.c.0,gap_down,0.9438,1,fixed_short
2020,ogap_gap_down_rejection,2020-01-26 23:00:00+00:00,NQ.c.0,gap_down,0.9140,1,fixed_short
2020,ogap_gap_down_rejection,2020-01-26 23:00:00+00:00,ES.c.0,gap_down,0.9406,1,fixed_short
2020,ogap_gap_down_rejection,2020-01-26 23:00:00+00:00,NQ.c.0,gap_down,0.9140,1,fixed_short
2020,ogap_gap_down_rejection,2020-01-26 23:00:00+00:00,ES.c.0,gap_down,0.9406,1,fixed_short
