signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
smt_pd_high_thesis,2022,YM.c.0,high,short,2022-06-08 00:00:00+00:00,0.9695,1,2022-06-08 00:03:00+00:00,33092.0000,2022-06-08 00:14:00+00:00,33104.5000,stop,12.5000,33104.5000,33067.0000,-12.5000,-1.0000
smt_pd_high_thesis,2022,ES.c.0,high,short,2022-09-13 05:00:00+00:00,0.9497,1,2022-09-13 05:04:00+00:00,4112.5000,2022-09-13 05:13:00+00:00,4113.7679,stop,1.2679,4113.7679,4109.9643,-1.2679,-1.0000
smt_pd_high_thesis,2022,YM.c.0,high,short,2022-09-15 02:00:00+00:00,0.9662,1,2022-09-15 02:04:00+00:00,31211.0000,2022-09-15 03:04:00+00:00,31183.0000,time_exit,17.7857,31228.7857,31175.4286,28.0000,1.5743
smt_pd_high_thesis,2022,NQ.c.0,high,short,2022-09-29 00:00:00+00:00,0.9708,1,2022-09-29 00:05:00+00:00,11552.2500,2022-09-29 00:06:00+00:00,11560.1071,stop,7.8571,11560.1071,11536.5357,-7.8571,-1.0000
smt_pd_high_thesis,2022,NQ.c.0,high,short,2022-11-28 14:00:00+00:00,0.9503,1,2022-11-28 14:03:00+00:00,11704.2500,2022-11-28 14:30:00+00:00,11713.5536,stop,9.3036,11713.5536,11685.6429,-9.3036,-1.0000
smt_pd_high_thesis,2022,YM.c.0,high,short,2022-12-04 23:00:00+00:00,0.9484,1,2022-12-04 23:03:00+00:00,34433.0000,2022-12-04 23:10:00+00:00,34395.0000,target,19.0000,34452.0000,34395.0000,38.0000,2.0000
smt_pd_high_thesis,2023,NQ.c.0,high,short,2023-02-21 00:00:00+00:00,0.9611,1,2023-02-21 00:03:00+00:00,12374.5000,2023-02-21 00:12:00+00:00,12362.2143,target,6.1429,12380.6429,12362.2143,12.2857,2.0000
smt_pd_high_thesis,2023,ES.c.0,high,short,2023-02-28 00:00:00+00:00,0.9531,1,2023-02-28 00:03:00+00:00,3991.7500,2023-02-28 00:10:00+00:00,3993.3750,stop,1.6250,3993.3750,3988.5000,-1.6250,-1.0000
smt_pd_high_thesis,2023,ES.c.0,high,short,2023-03-15 01:00:00+00:00,0.9448,1,2023-03-15 01:07:00+00:00,3918.0000,2023-03-15 01:22:00+00:00,3920.0536,stop,2.0536,3920.0536,3913.8929,-2.0536,-1.0000
smt_pd_high_thesis,2023,YM.c.0,high,short,2023-03-28 05:00:00+00:00,0.9473,1,2023-03-28 05:04:00+00:00,32681.0000,2023-03-28 05:14:00+00:00,32686.1429,stop,5.1429,32686.1429,32670.7143,-5.1429,-1.0000
smt_pd_high_thesis,2023,YM.c.0,high,short,2023-04-20 01:00:00+00:00,0.9527,1,2023-04-20 01:06:00+00:00,33999.0000,2023-04-20 01:31:00+00:00,34006.0714,stop,7.0714,34006.0714,33984.8571,-7.0714,-1.0000
smt_pd_high_thesis,2023,NQ.c.0,high,short,2023-04-25 00:00:00+00:00,0.9565,1,2023-04-25 00:05:00+00:00,13058.2500,2023-04-25 00:19:00+00:00,13049.4286,target,4.4107,13062.6607,13049.4286,8.8214,2.0000
