signal,2020,2021,2022,2023,2024,2025
ogap_gap_down_rejection,0.9268,1.0000,1.0000,0.9767,0.7941,1.0000
ogap_gap_up_rejection,1.0000,0.9259,0.8636,0.8333,1.0000,1.0000
ogap_strict_partial_touch,0.8876,0.8072,0.9059,0.8810,0.8966,0.9080
