variant,2020,2021,2022,2023,2024,2025,total,years_positive
v7d_baseline,29.6709,14.5313,4.7088,4.6337,24.6265,-5.2007,72.9705,5
v8a_target5,32.1041,16.5313,1.9402,4.6337,28.6265,-5.1129,78.7229,5
v8b_target3,25.7541,12.3119,2.7088,4.6337,21.7689,-9.2007,57.9768,5
v8c_tw120,17.3887,4.2237,6.5705,6.3922,20.2914,-13.4137,41.4528,5
v8d_tw60,13.3687,-0.0432,-4.9788,-5.1380,14.5898,-30.3795,-12.5809,2
