fire_ts,symbol,side,range_far,their_label,my_label,agree
2022-02-14 04:00:00+00:00,NQ.c.0,bullish,14184.25,1,0.0,False
2025-09-08 23:00:00+00:00,ES.c.0,bearish,6513.5,0,1.0,False
2025-01-09 00:00:00+00:00,YM.c.0,bearish,42914.0,0,0.0,True
2024-05-03 04:00:00+00:00,ES.c.0,bearish,5118.0,0,0.0,True
2016-09-28 15:00:00+00:00,NQ.c.0,bearish,4868.75,0,0.0,True
2022-06-07 04:00:00+00:00,ES.c.0,bearish,4124.0,0,0.0,True
2022-08-09 04:00:00+00:00,ES.c.0,bearish,4154.5,0,0.0,True
2015-10-22 23:00:00+00:00,ES.c.0,bearish,2061.75,0,0.0,True
2020-10-22 23:00:00+00:00,YM.c.0,bearish,28338.0,0,0.0,True
2024-10-15 08:00:00+00:00,YM.c.0,bearish,43421.0,1,1.0,True
2024-06-03 00:00:00+00:00,ES.c.0,bullish,5305.75,0,1.0,False
2019-10-17 23:00:00+00:00,ES.c.0,bearish,2999.0,0,0.0,True
2019-08-12 15:00:00+00:00,NQ.c.0,bullish,7580.5,0,0.0,True
2015-10-19 23:00:00+00:00,ES.c.0,bearish,2027.75,0,0.0,True
2020-11-12 04:00:00+00:00,NQ.c.0,bearish,11917.75,0,0.0,True
2020-05-12 09:00:00+00:00,YM.c.0,bullish,24083.0,0,1.0,False
2023-02-17 00:00:00+00:00,ES.c.0,bullish,4085.25,0,0.0,True
2024-11-25 04:00:00+00:00,ES.c.0,bearish,6015.25,0,0.0,True
2023-07-06 04:00:00+00:00,NQ.c.0,bearish,15392.0,0,0.0,True
2024-06-12 16:00:00+00:00,YM.c.0,bearish,39193.0,0,0.0,True
2020-12-21 04:00:00+00:00,ES.c.0,bearish,3695.5,0,1.0,False
2026-03-27 15:00:00+00:00,ES.c.0,bullish,6454.0,0,0.0,True
2018-05-08 12:00:00+00:00,YM.c.0,bullish,24201.0,1,0.0,False
2024-04-15 15:00:00+00:00,YM.c.0,bearish,38637.0,0,0.0,True
2017-04-13 18:00:00+00:00,NQ.c.0,bullish,5363.75,1,0.0,False
2017-03-06 09:00:00+00:00,YM.c.0,bullish,20927.0,0,1.0,False
2020-03-24 23:00:00+00:00,NQ.c.0,bearish,7634.0,0,0.0,True
2025-01-29 04:00:00+00:00,YM.c.0,bearish,45022.0,0,1.0,False
2017-08-15 16:00:00+00:00,NQ.c.0,bearish,5929.5,0,0.0,True
2015-07-20 23:00:00+00:00,ES.c.0,bearish,2122.5,0,0.0,True
2024-01-05 00:00:00+00:00,ES.c.0,bullish,4727.0,0,0.0,True
2025-11-24 08:00:00+00:00,ES.c.0,bearish,6662.5,1,1.0,True
2023-11-22 08:00:00+00:00,NQ.c.0,bullish,15946.25,0,0.0,True
2025-07-24 04:00:00+00:00,NQ.c.0,bearish,23418.0,0,0.0,True
2025-04-25 07:00:00+00:00,NQ.c.0,bearish,19478.25,0,0.0,True
2019-09-03 04:00:00+00:00,ES.c.0,bearish,2915.5,0,0.0,True
2019-09-26 16:00:00+00:00,YM.c.0,bullish,26782.0,0,0.0,True
2016-08-12 12:00:00+00:00,YM.c.0,bearish,18566.0,0,1.0,False
2021-02-24 13:00:00+00:00,ES.c.0,bearish,3896.5,0,0.0,True
2025-08-22 12:00:00+00:00,YM.c.0,bullish,44948.0,0,0.0,True
