signal,2020,2021,2022,2023,2024,2025,total
ogap_gap_down_rejection,15.0961,2.6413,17.9178,1.5522,-6.0032,0.6848,31.8890
ogap_gap_up_rejection,18.5330,8.3966,-15.6301,3.7184,25.3658,-24.1989,16.1848
ogap_strict_partial_touch,33.6291,10.0378,3.2877,6.2294,17.3626,-23.5141,47.0326
