top_pct,2020,2021,2022,2023,2024,2025,mean,min,max
0.0100,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0500,0.9000,1.0000,1.0000,1.0000,0.7647,1.0000,0.9441,0.7647,1.0000
0.1000,0.9268,1.0000,1.0000,0.9767,0.7941,1.0000,0.9496,0.7941,1.0000
0.2000,0.9136,0.9153,1.0000,0.9529,0.7313,0.9765,0.9149,0.7313,1.0000
0.5000,0.8235,0.7415,0.8932,0.9019,0.6786,0.8178,0.8094,0.6786,0.9019
