label,n_features_used,best_iteration,test_year,n_train,n_val,n_test,pos_train,pos_test,base_rate_test,auc_train,auc_val,auc_test,accuracy_test,majority_accuracy_test,top_bucket_n,top_bucket_rate,top_bucket_lift_vs_base
label.ob_confirmation.did_confirm,2860,92,2020,10378,2716,2624,10099,2576,0.9817073170731707,0.9435853863951184,0.8575871907204442,0.8974589156314698,0.9817073170731707,0.9817073170731707,263,1.0,0.018292682926829285
label.ob_confirmation.did_confirm,2865,114,2021,13094,2624,2755,12717,2673,0.9702359346642468,0.9549380317372118,0.892291019668737,0.890745759309445,0.9705989110707804,0.9702359346642468,276,1.0,0.029764065335753154
label.ob_confirmation.did_confirm,2865,159,2022,15718,2755,2337,15293,2282,0.9764655541292255,0.9685022367019129,0.8918270327484419,0.9301967970679627,0.9764655541292255,0.9764655541292255,234,1.0,0.023534445870774467
label.ob_confirmation.did_confirm,2866,125,2023,18473,2337,2624,17966,2526,0.9626524390243902,0.9593714820960302,0.9337024938251932,0.9189005768578214,0.9626524390243902,0.9626524390243902,263,1.0,0.03734756097560976
label.ob_confirmation.did_confirm,2867,150,2024,20810,2624,2635,20248,2562,0.9722960151802656,0.9659144754510265,0.9202174931730411,0.8911862521788415,0.9719165085388994,0.9722960151802656,264,1.0,0.02770398481973435
label.ob_confirmation.did_confirm,2867,155,2025,23434,2635,2589,22774,2515,0.9714175357280803,0.9682666437803875,0.8957043405729683,0.8786416635323195,0.9710312862108922,0.9714175357280803,259,1.0,0.028582464271919683
