fold_test_year,feature,gain
2020,liqgeom.spread_pts_any_source_same_primary_high_wick_taken_above,20.974853515625
2020,obgeom.n_any_symbol_any_side_body_touched_within_25pts,20.959270477294922
2020,xctx.n_vp_side_selling_7d,20.934200286865234
2020,obgeom.body_width_pts_any_symbol_bullish_body_filled_below,20.770143508911133
2020,liqgeom.n_members_eql_same_primary_any_side_fresh_above,20.765504837036133
2020,liqgeom.spread_pts_any_source_same_primary_any_side_close_taken_below,20.697784423828125
2020,obgeom.range_width_pts_any_symbol_bullish_fresh_below,20.616626739501953
2020,fvggeom.n_any_symbol_any_side_untouched_within_10pts,20.477813720703125
2020,regime.last_true_range_pts_any_symbol_asia_itr,20.281455993652344
2020,obgeom.age_min_any_symbol_bearish_body_filled_inside,20.209075927734375
2020,xctx.n_fvg_side_bullish_4h,20.07438850402832
2020,liqgeom.age_min_swing_same_primary_high_horizon_expired_below,20.055994033813477
2020,liqgeom.age_min_any_source_any_symbol_high_wick_taken_above,19.709911346435547
2020,fvggeom.age_min_any_symbol_bearish_untouched_above,19.586931228637695
2020,xctx.n_swing_side_low_7d,19.485143661499023
2020,fvggeom.age_min_any_symbol_any_side_fully_filled_inside,19.395885467529297
2020,liqgeom.age_min_any_source_same_primary_any_side_fresh_above,19.36348533630371
2020,obgeom.body_width_pts_same_primary_bearish_invalidated_below,19.25560760498047
2020,obgeom.range_width_pts_any_symbol_bullish_body_filled_below,19.24927520751953
2020,regime.last_range_percentile_prev10_any_symbol_any_itr,19.185964584350586
2020,fvggeom.age_min_any_symbol_bearish_closed_through_above,18.89222526550293
2020,fvggeom.width_pts_any_symbol_any_side_closed_through_inside,18.880142211914062
2020,xctx.n_macro_side_high_7d,18.860885620117188
2020,xctx.minutes_since_last_orb_side_doji_24h,18.840845108032227
2020,fvggeom.width_pts_any_symbol_bearish_closed_through_above,18.738622665405273
2020,fvggeom.age_min_any_symbol_any_side_tapped_inside,18.726516723632812
2020,regime.last_close_location_any_symbol_any_itr,18.71270179748535
2020,obgeom.distance_pts_same_primary_bearish_body_filled_below,18.45386505126953
2020,liqgeom.distance_pts_any_source_any_symbol_any_side_close_taken_below,18.40501594543457
2020,regime.last_close_location_same_primary_asia_itr,18.364879608154297
2020,obgeom.body_width_pts_any_symbol_any_side_body_touched_below,18.357860565185547
2020,xctx.minutes_since_last_psp_24h,18.24158477783203
2020,fvggeom.age_min_same_primary_bearish_closed_through_above,18.188608169555664
2020,xctx.minutes_since_last_disp_side_bullish_24h,18.183584213256836
2020,xctx.minutes_since_last_orb_1h,18.158201217651367
2020,obgeom.age_min_same_primary_bearish_body_filled_above,18.091032028198242
2020,xctx.n_ft_side_bullish_7d,18.09092903137207
2020,obgeom.range_width_pts_same_primary_any_side_body_filled_below,18.0695858001709
2020,liqgeom.age_min_swing_same_primary_low_fresh_below,18.006793975830078
2020,xctx.minutes_since_last_ogap_side_gap_down_24h,17.974769592285156
2020,fvggeom.age_min_same_primary_any_side_untouched_below,17.913599014282227
2020,fvggeom.n_any_symbol_any_side_mid_filled_within_10pts,17.82508087158203
2020,xctx.minutes_since_last_psp_7d,17.82253646850586
2020,xctx.minutes_since_last_tp_side_bullish_24h,17.75302505493164
