variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,2020-01-05 23:02:00+00:00,3219.2500,2020-01-06 03:02:00+00:00,3220.7500,time_exit,4.4598,3228.1696,3196.9509,-1.5000,-0.1682
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,2020-01-05 23:02:00+00:00,3219.2500,2020-01-06 03:02:00+00:00,3220.7500,time_exit,4.4598,3228.1696,3196.9509,-1.5000,-0.1682
A_model_consensus,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,9051.7500,2020-01-27 03:02:00+00:00,9022.7500,time_exit,22.8214,9097.3929,8937.6429,29.0000,0.6354
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,3265.7500,2020-01-27 03:02:00+00:00,3261.7500,time_exit,7.0045,3279.7589,3230.7277,4.0000,0.2855
A_model_consensus,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,9051.7500,2020-01-27 03:02:00+00:00,9022.7500,time_exit,22.8214,9097.3929,8937.6429,29.0000,0.6354
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,2020-01-26 23:02:00+00:00,3265.7500,2020-01-27 03:02:00+00:00,3261.7500,time_exit,7.0045,3279.7589,3230.7277,4.0000,0.2855
A_model_consensus,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-17 23:00:00+00:00,2020-02-17 23:02:00+00:00,9594.0000,2020-02-17 23:54:00+00:00,9603.4821,stop,4.7411,9603.4821,9570.2946,-9.4821,-1.0000
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,2020-02-23 23:05:00+00:00,3305.5000,2020-02-24 03:05:00+00:00,3286.0000,time_exit,5.6384,3316.7768,3277.3080,19.5000,1.7292
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,2020-02-23 23:05:00+00:00,3305.5000,2020-02-24 03:05:00+00:00,3286.0000,time_exit,5.6384,3316.7768,3277.3080,19.5000,1.7292
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,2020-03-08 22:02:00+00:00,2872.2500,2020-03-09 02:02:00+00:00,2819.0000,time_exit,21.0536,2914.3571,2766.9821,53.2500,1.2646
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,2020-03-08 22:02:00+00:00,2872.2500,2020-03-09 02:02:00+00:00,2819.0000,time_exit,21.0536,2914.3571,2766.9821,53.2500,1.2646
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-22 22:00:00+00:00,2020-03-22 22:03:00+00:00,2180.0000,2020-03-22 23:40:00+00:00,2223.6607,stop,21.8304,2223.6607,2070.8482,-43.6607,-1.0000
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-22 22:00:00+00:00,2020-03-22 22:03:00+00:00,2180.0000,2020-03-22 23:40:00+00:00,2223.6607,stop,21.8304,2223.6607,2070.8482,-43.6607,-1.0000
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-29 22:00:00+00:00,2020-03-29 22:03:00+00:00,2467.7500,2020-03-30 02:03:00+00:00,2493.5000,time_exit,20.3839,2508.5179,2365.8304,-25.7500,-0.6316
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-29 22:00:00+00:00,2020-03-29 22:03:00+00:00,2467.7500,2020-03-30 02:03:00+00:00,2493.5000,time_exit,20.3839,2508.5179,2365.8304,-25.7500,-0.6316
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-03 22:00:00+00:00,2020-05-03 22:04:00+00:00,2792.7500,2020-05-04 02:04:00+00:00,2792.7500,time_exit,8.3438,2809.4375,2751.0312,0.0000,0.0000
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-03 22:00:00+00:00,2020-05-03 22:04:00+00:00,2792.7500,2020-05-04 02:04:00+00:00,2792.7500,time_exit,8.3438,2809.4375,2751.0312,0.0000,0.0000
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-24 22:00:00+00:00,2020-05-24 22:04:00+00:00,2952.0000,2020-05-24 22:42:00+00:00,2963.2768,stop,5.6384,2963.2768,2923.8080,-11.2768,-1.0000
A_model_consensus,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-05-24 22:00:00+00:00,2020-05-24 22:04:00+00:00,2952.0000,2020-05-24 22:42:00+00:00,2963.2768,stop,5.6384,2963.2768,2923.8080,-11.2768,-1.0000
