variant,2020,2021,2022,2023,2024,2025,total
A_model_consensus,32.1041,16.5313,1.9402,4.6337,28.6265,-5.1129,78.7229
B_all_no_consensus,3.7441,6.7216,-53.6940,-48.4307,57.7491,43.4498,9.5398
C_model_REVERSED,-32.1525,-6.1626,-9.0583,-4.7224,-15.5291,-1.9269,-69.5518
D_random_consensus,-6.6029,-2.9673,-2.2119,-3.1669,2.2720,1.3110,-11.3660
E_all_consensus,3.7441,6.7216,-53.6940,-48.4307,57.7491,43.4498,9.5398
