label,n_features_used,best_iteration,test_year,n_train,n_val,n_test,pos_train,pos_test,base_rate_test,auc_train,auc_val,auc_test,accuracy_test,majority_accuracy_test,top_bucket_n,top_bucket_rate,top_bucket_lift_vs_base
label.manipulation_range_reaction.range_expanded_2x_manipulation,2904,142,2020,18946,4693,4634,18256,4511,0.9734570565386276,0.9764978597467262,0.8564388764618457,0.8664907642204333,0.9738886491152352,0.9734570565386276,464,1.0,0.026542943461372426
label.manipulation_range_reaction.range_expanded_2x_manipulation,2908,298,2021,23639,4634,4867,22772,4716,0.9689747277583727,0.9938647615771286,0.880319652232213,0.9279934729735042,0.96938565851654,0.9689747277583727,487,1.0,0.031025272241627322
label.manipulation_range_reaction.range_expanded_2x_manipulation,2908,404,2022,28273,4867,4842,27283,4687,0.9679884345311854,0.9967395984549523,0.9388259777901351,0.939198331693015,0.9679884345311854,0.9679884345311854,485,1.0,0.03201156546881456
label.manipulation_range_reaction.range_expanded_2x_manipulation,2910,409,2023,33140,4842,4812,31999,4620,0.9600997506234414,0.9954803035447619,0.9455570314596998,0.9346185064935064,0.9615544472152951,0.9600997506234414,482,1.0,0.03990024937655856
label.manipulation_range_reaction.range_expanded_2x_manipulation,2910,246,2024,37982,4812,4806,36686,4656,0.968789013732834,0.9872823790553532,0.9376341540404041,0.9376374570446737,0.9679567207657095,0.968789013732834,481,1.0,0.031210986267166008
label.manipulation_range_reaction.range_expanded_2x_manipulation,2910,157,2025,42794,4806,4757,41306,4542,0.9548034475509775,0.9761227215031375,0.938846649484536,0.875007936264119,0.9545932310279588,0.9548034475509775,476,0.9915966386554622,0.03679319110448476
