window,gate,n,n_filled,tpw,win,mean_r,sum_r,maxdd
jan_oos,0.45,222,221,46.04166666666667,0.3755656108597285,-0.035527867846749196,-7.8516587941315725,13.647810545428332
jan_oos,0.46,217,216,45.0,0.375,-0.042213767071417274,-9.11817368742613,15.305266025307777
jan_oos,0.47,208,207,43.125,0.3961352657004831,0.02348791189864723,4.861997763019977,12.604001021618807
jan_oos,0.48,199,198,41.25,0.42424242424242425,0.10396318947805837,20.584711516655556,11.992360875124055
jan_oos,0.49,189,188,39.16666666666667,0.425531914893617,0.12623819142395074,23.732779987702738,13.402347760787412
jan_oos,0.5,184,183,38.125,0.43169398907103823,0.14762791347653184,27.015908166205328,12.32349061793027
jan_oos,0.51,177,176,36.66666666666667,0.4318181818181818,0.17616988728485303,31.005900162134132,13.272125538565192
jan_oos,0.52,168,167,34.79166666666667,0.4491017964071856,0.20897722044079847,34.899195813613346,12.254982681422332
jan_oos,0.53,159,158,32.91666666666667,0.43670886075949367,0.18371881869030812,29.027573353068682,16.23669503047541
jan_oos,0.54,151,150,31.25,0.44666666666666666,0.25272657973455165,37.908986960182744,15.622960059565301
jan_oos,0.55,140,139,28.958333333333336,0.4748201438848921,0.32700537045973554,45.45374649390324,8.53567813857515
jan_oos,0.56,129,128,26.666666666666668,0.4765625,0.36341667030397035,46.517333798908204,7.687357209297668
jan_oos,0.57,114,113,23.541666666666668,0.5221238938053098,0.4958475702066839,56.03077543335528,5.18875720929755
jan_oos,0.58,105,104,21.666666666666668,0.5096153846153846,0.4824285534887792,50.17256956283304,5.374550074387306
jan_oos,0.59,100,100,20.833333333333336,0.52,0.4923095934972844,49.230959349728444,5.613057019868364
jan_oos,0.6,92,92,19.166666666666668,0.5217391304347826,0.49428221448733445,45.47396373283477,6.744150074387662
jan_oos,0.61,83,83,17.291666666666668,0.5421686746987951,0.5521644661243686,45.829650688322594,4.3817582417582415
jan_oos,0.62,74,74,15.416666666666668,0.5135135135135135,0.4429674729226506,32.77959299627614,4.3817582417582415
jan_oos,0.63,65,65,13.541666666666668,0.49230769230769234,0.39646583171708116,25.770279061610275,5.764244696479033
jan_oos,0.64,58,58,12.083333333333334,0.46551724137931033,0.3294805275435267,19.109870597524548,6.967881060116325
jan_oos,0.65,48,48,10.0,0.4791666666666667,0.4037311398418106,19.379094712406907,5.87926567550094
jan_oos,0.66,41,41,8.541666666666668,0.4878048780487805,0.38439783726949334,15.760311328049227,5.87926567550094
jan_oos,0.67,36,36,7.5,0.5,0.4022807049322387,14.482105377560593,4.856072398190015
jan_oos,0.68,32,32,6.666666666666667,0.4375,0.1614571429888398,5.166628575642874,4.856072398190015
jan_oos,0.69,25,25,5.208333333333334,0.4,-0.1257026877437796,-3.14256719359449,6.950807516730012
train,0.45,611,605,42.605633802816904,0.4446280991735537,0.1438756706652366,87.04478075246814,27.80467345329923
train,0.46,592,587,41.33802816901409,0.4616695059625213,0.1900648292303809,111.56805475823359,20.108538945886522
train,0.47,576,572,40.28169014084507,0.47027972027972026,0.22391568188757968,128.07977003969557,21.531302289144662
train,0.48,564,559,39.36619718309859,0.4847942754919499,0.2664162960100361,148.92670946961016,18.25027859059128
train,0.49,543,539,37.95774647887324,0.49907235621521334,0.3049449327334452,164.36531874332695,13.052271872579055
train,0.5,531,528,37.183098591549296,0.5075757575757576,0.3402224671570148,179.63746265890381,11.296730273739072
train,0.51,501,498,35.07042253521127,0.5341365461847389,0.40247408476853347,200.43209421472966,11.296730273739087
train,0.52,473,470,33.098591549295776,0.5531914893617021,0.45811600978295874,215.3145245979906,9.967587416596217
train,0.53,448,445,31.338028169014088,0.5573033707865168,0.476744368506194,212.15124398525634,9.698303173029885
train,0.54,419,417,29.366197183098592,0.5683453237410072,0.518352046090641,216.1528032197973,8.68225666140198
train,0.55,400,399,28.098591549295776,0.568922305764411,0.5114993377758807,204.0882357725764,8.570179053094733
train,0.56,370,369,25.985915492957748,0.5880758807588076,0.5714052838339136,210.84854973471414,9.05284571976162
train,0.57,342,341,24.014084507042256,0.6041055718475073,0.6140678838469948,209.39714839182523,8.526845719761639
train,0.58,317,316,22.253521126760564,0.6234177215189873,0.6882760901380313,217.49524448361788,8.56631288209121
train,0.59,292,291,20.492957746478876,0.6254295532646048,0.6861175504886079,199.66020719218488,6.680852842318927
train,0.6,271,270,19.014084507042256,0.6481481481481481,0.7699337613235664,207.88211555736294,5.197384101991332
train,0.61,244,243,17.112676056338028,0.6666666666666666,0.7789014521417345,189.27305287044146,5.963510427350428
train,0.62,230,229,16.126760563380284,0.6724890829694323,0.7792633293375165,178.45130241829128,4.871350427350421
train,0.63,204,202,14.225352112676058,0.6732673267326733,0.7733597935413484,156.2186782953524,4.36127222689079
train,0.64,188,186,13.098591549295776,0.6559139784946236,0.7487535939249905,139.26816847004824,7.306111020646512
train,0.65,159,159,11.19718309859155,0.6666666666666666,0.792580379266621,126.02028030339272,4.707811020646517
train,0.66,130,130,9.15492957746479,0.6692307692307692,0.7663312205545527,99.62305867209186,5.832572925408442
train,0.67,105,105,7.394366197183099,0.6190476190476191,0.6140700909384748,64.47735954853985,7.048190464662561
train,0.68,84,84,5.915492957746479,0.6190476190476191,0.6227222167625017,52.30866620805015,6.908190464662383
train,0.69,72,72,5.070422535211268,0.625,0.6617682335876847,47.647312818313296,7.685812486667391
oos_holdout,0.45,112,112,50.90909090909091,0.4107142857142857,0.05662703983284777,6.34222846127895,21.37900454864085
oos_holdout,0.46,111,111,50.45454545454545,0.42342342342342343,0.08374929595695706,9.296171851222233,18.425061158697567
oos_holdout,0.47,108,108,49.090909090909086,0.4351851851851852,0.12477657331353216,13.475869917861473,15.47536309205833
oos_holdout,0.48,104,104,47.272727272727266,0.41346153846153844,0.08461532796541579,8.799994108403242,15.67817007560563
oos_holdout,0.49,102,102,46.36363636363636,0.4215686274509804,0.0946313801993478,9.652400780333476,17.57054306469222
oos_holdout,0.5,96,96,43.63636363636363,0.4270833333333333,0.13642065554060098,13.096382931897693,12.632515482076858
oos_holdout,0.51,88,88,40.0,0.4772727272727273,0.330434896570568,29.078270898209986,10.259547888808356
oos_holdout,0.52,83,83,37.72727272727273,0.4819277108433735,0.3623822148399786,30.077723831718227,10.33749397353235
oos_holdout,0.53,78,78,35.45454545454545,0.5128205128205128,0.4677031316721892,36.48084427043076,9.32002561910197
oos_holdout,0.54,74,74,33.63636363636363,0.5135135135135135,0.4678064067380371,34.61767409861474,8.174762461207235
oos_holdout,0.55,74,74,33.63636363636363,0.47297297297297297,0.3569111686427989,26.41142647956712,11.70009579454057
oos_holdout,0.56,69,69,31.36363636363636,0.5217391304347826,0.4867578130866453,33.586289102978526,11.700095794540568
oos_holdout,0.57,66,66,29.999999999999996,0.5606060606060606,0.5855355620682372,38.645347096503656,11.70009579454057
oos_holdout,0.58,65,65,29.545454545454543,0.5230769230769231,0.4411431307979349,28.67430350186577,11.70009579454057
oos_holdout,0.59,62,62,28.18181818181818,0.5483870967741935,0.5142786732937077,31.885277744209876,10.62550119994597
oos_holdout,0.6,59,59,26.818181818181817,0.5423728813559322,0.44590566358455225,26.308434151488584,8.468231969176738
oos_holdout,0.61,55,55,24.999999999999996,0.5454545454545454,0.4302258412552857,23.662421269040713,8.468231969176738
oos_holdout,0.62,47,47,21.363636363636363,0.5106382978723404,0.334920712877696,15.74127350525171,7.379616584561353
oos_holdout,0.63,39,39,17.727272727272727,0.5641025641025641,0.502224782125997,19.586766502913882,5.261896989966752
oos_holdout,0.64,33,33,14.999999999999998,0.5757575757575758,0.5855033468228108,19.321610445152757,5.261896989966752
oos_holdout,0.65,26,26,11.818181818181817,0.5384615384615384,0.5400715106605811,14.04185927717511,4.944973913043478
oos_holdout,0.66,22,22,10.0,0.5909090909090909,0.7010671702388739,15.423477745255227,4.7732973172988
oos_holdout,0.67,17,17,7.727272727272727,0.6470588235294118,0.8121339748188356,13.806277571920207,2.4427234042553216
oos_holdout,0.68,13,13,5.909090909090908,0.7692307692307693,0.9924874959049047,12.902337446763761,1.3840000000000001
oos_holdout,0.69,10,10,4.545454545454545,0.7,0.851951079972659,8.51951079972659,1.3840000000000001
ALL,0.45,945,938,44.24528301886792,0.42430703624733473,0.09118907294202082,85.53535041961553,27.80467345329923
ALL,0.46,920,914,43.113207547169814,0.4365426695842451,0.12226045177464956,111.74605292202969,20.108538945886536
ALL,0.47,892,887,41.839622641509436,0.4487034949267193,0.16507061749783206,146.41763772057703,21.531302289144662
ALL,0.48,867,861,40.613207547169814,0.462253193960511,0.20709804308323923,178.31141509466897,18.25027859059128
ALL,0.49,834,829,39.10377358490566,0.47285886610373945,0.23854101267956956,197.75049951136316,17.570543064692316
ALL,0.5,811,807,38.06603773584906,0.48079306071871125,0.27230452757993406,219.7497537570068,12.63251548207694
ALL,0.51,766,762,35.943396226415096,0.5039370078740157,0.34188486256571365,260.5162652750738,13.272125538565192
ALL,0.52,724,720,33.9622641509434,0.5208333333333334,0.3892936725601697,280.2914442433222,12.254982681422332
ALL,0.53,685,681,32.12264150943396,0.5242290748898678,0.40772343848569137,277.6596616087558,16.23669503047541
ALL,0.54,644,641,30.235849056603776,0.5335413416536662,0.4503579785937516,288.67946427859476,15.622960059565301
ALL,0.55,614,612,28.867924528301888,0.5359477124183006,0.4509042626569392,275.9534087460468,11.700095794540545
ALL,0.56,568,566,26.69811320754717,0.5547703180212014,0.5140497749763265,290.95217263660084,11.700095794540516
ALL,0.57,522,520,24.528301886792455,0.5807692307692308,0.584756290234008,304.0732709216842,11.700095794540516
ALL,0.58,487,485,22.87735849056604,0.5855670103092784,0.6110146753573539,296.34211754831665,11.700095794540516
ALL,0.59,454,453,21.367924528301888,0.5916114790286976,0.6198155503004926,280.77644428612314,10.625501199945916
ALL,0.6,422,421,19.858490566037737,0.6057007125890737,0.6642862552059057,279.66451344168627,8.468231969176657
ALL,0.61,382,381,17.971698113207548,0.6220472440944882,0.6791735559784902,258.76512482780475,8.468231969176742
ALL,0.62,351,350,16.50943396226415,0.6171428571428571,0.6484919111994832,226.97216891981913,7.379616584561347
ALL,0.63,308,306,14.433962264150944,0.6209150326797386,0.6587441956205116,201.57572385987655,5.764244696479033
ALL,0.64,279,277,13.066037735849058,0.6064981949458483,0.6415149801903448,177.6996495127255,7.306111020646512
ALL,0.65,233,233,10.99056603773585,0.6137339055793991,0.6842971428883035,159.4412342929747,5.87926567550094
ALL,0.66,193,193,9.10377358490566,0.6217616580310881,0.6777556877999807,130.80684774539628,5.87926567550094
ALL,0.67,158,158,7.452830188679245,0.5949367088607594,0.5871249525191182,92.76574249802067,7.048190464662561
ALL,0.68,129,129,6.084905660377359,0.5891472868217055,0.5455630405461767,70.37763223045678,6.908190464662383
ALL,0.69,107,107,5.047169811320755,0.5794392523364486,0.49555379835930286,53.024256424445404,7.685812486667398
