slippage,2020,2021,2022,2023,2024,2025,total
1tick_entry_and_stop,1766.8337,1688.1285,1849.2995,1409.7698,2183.0609,1774.7530,10671.8453
2tick_entry_and_stop,1419.5597,1238.5988,1584.5704,939.6898,1777.6692,1485.7187,8445.8067
no_slippage,2127.5520,2135.6119,2112.4342,1845.1828,2582.4243,2044.3449,12847.5501
